Date,open,high,low,close,volume
2024-08-13,59356.20703125,61572.3984375,58506.25390625,60609.56640625,30327698167
2024-08-14,60611.05078125,61687.7578125,58472.875,58737.26953125,29961696180
2024-08-15,58733.26171875,59838.6484375,56161.59375,57560.09765625,35682112440
2024-08-16,57560.2734375,59847.359375,57110.01953125,58894.10546875,29350938673
2024-08-17,58893.53125,59694.66796875,58814.83203125,59478.97265625,13589684021
2024-08-18,59468.1328125,60262.71875,58445.40234375,58483.96484375,17740625837
2024-08-19,58480.7109375,59612.66015625,57864.7109375,59493.453125,25911207712
2024-08-20,59493.453125,61396.328125,58610.8828125,59012.79296875,31613400008
2024-08-21,59014.98828125,61834.3515625,58823.4453125,61175.19140625,32731154072
2024-08-22,61168.31640625,61408.109375,59815.25390625,60381.9140625,27625734377
2024-08-23,60380.953125,64947.0625,60372.05078125,64094.35546875,42530509233
2024-08-24,64103.87109375,64513.7890625,63619.91796875,64178.9921875,21430585163
2024-08-25,64176.3671875,64996.421875,63833.51953125,64333.54296875,18827683555
2024-08-26,64342.2265625,64489.70703125,62849.55859375,62880.66015625,27682040631
2024-08-27,62879.70703125,63210.796875,58116.75,59504.1328125,39103882198
2024-08-28,59507.92578125,60236.44921875,57890.67578125,59027.625,40289564698
2024-08-29,59027.46875,61184.08203125,58786.2265625,59388.1796875,32224990582
2024-08-30,59388.6015625,59896.88671875,57768.53125,59119.4765625,32292756405
2024-08-31,59117.48046875,59432.59375,58768.78515625,58969.8984375,12403470760
2024-09-01,58969.80078125,59062.0703125,57217.82421875,57325.48828125,24592449997
2024-09-02,57326.96875,59403.0703125,57136.02734375,59112.48046875,27036454524
2024-09-03,59106.19140625,59815.05859375,57425.16796875,57431.0234375,26666961053
2024-09-04,57430.34765625,58511.5703125,55673.1640625,57971.5390625,35627680312
2024-09-05,57971.703125,58300.58203125,55712.453125,56160.48828125,31030280656
2024-09-06,56160.19140625,56976.109375,52598.69921875,53948.75390625,49361693566
2024-09-07,53949.0859375,54838.14453125,53740.0703125,54139.6875,19061486526
2024-09-08,54147.93359375,55300.859375,53653.7578125,54841.56640625,18268287531
2024-09-09,54851.88671875,58041.125,54598.43359375,57019.53515625,34618096173
2024-09-10,57020.09765625,58029.9765625,56419.4140625,57648.7109375,28857630507
2024-09-11,57650.2890625,57991.3203125,55567.33984375,57343.171875,37049062672
2024-09-12,57343.171875,58534.359375,57330.1015625,58127.01171875,33835707949
2024-09-13,58130.32421875,60648.0234375,57650.11328125,60571.30078125,32490528356
2024-09-14,60569.1171875,60656.72265625,59517.8828125,60005.12109375,16428405496
2024-09-15,60000.7265625,60381.91796875,58696.30859375,59182.8359375,18120960867
2024-09-16,59185.2265625,59205.51171875,57501.33984375,58192.5078125,32032822113
2024-09-17,58192.5078125,61316.08984375,57628.0703125,60308.5390625,38075570118
2024-09-18,60309.0,61664.06640625,59218.25390625,61649.6796875,40990702891
2024-09-19,61651.15625,63872.44140625,61609.8671875,62940.45703125,42710252573
2024-09-20,62941.42578125,64119.53125,62364.60546875,63192.9765625,35177164222
2024-09-21,63184.33984375,63543.359375,62783.10546875,63394.83984375,14408616220
2024-09-22,63396.8046875,63993.421875,62440.7265625,63648.7109375,20183348802
2024-09-23,63643.1015625,64733.55859375,62628.078125,63329.80078125,31400285425
2024-09-24,63326.83984375,64695.21484375,62737.41796875,64301.96875,29938335243
2024-09-25,64302.58984375,64804.50390625,62945.375,63143.14453125,25078377700
2024-09-26,63138.546875,65790.796875,62669.26953125,65181.01953125,36873129847
2024-09-27,65180.6640625,66480.6953125,64852.9921875,65790.6640625,32058813449
2024-09-28,65792.1796875,66255.53125,65458.03515625,65887.6484375,15243637984
2024-09-29,65888.8984375,66069.34375,65450.015625,65635.3046875,14788214575
2024-09-30,65634.65625,65635.0546875,62873.6171875,63329.5,37112957475
2024-10-01,63335.60546875,64110.98046875,60189.27734375,60837.0078125,50220923500
2024-10-02,60836.32421875,62357.6875,59996.94921875,60632.78515625,40762722398
2024-10-03,60632.484375,61469.0390625,59878.8046875,60759.40234375,36106447279
2024-10-04,60754.625,62465.9921875,60459.94140625,62067.4765625,29585472513
2024-10-05,62067.609375,62371.0234375,61689.58203125,62089.94921875,13305410749
2024-10-06,62084.98828125,62959.5703125,61833.1484375,62818.953125,14776233667
2024-10-07,62819.109375,64443.70703125,62152.55078125,62236.66015625,34253562610
2024-10-08,62221.64453125,63174.3046875,61843.5625,62131.96875,28134475157
2024-10-09,62131.7265625,62508.8359375,60314.61328125,60582.1015625,27670982363
2024-10-10,60581.9296875,61236.72265625,58895.20703125,60274.5,30452813570
2024-10-11,60275.4609375,63400.87109375,60046.125,62445.08984375,30327141594
2024-10-12,62444.6171875,63448.78515625,62443.26953125,63193.0234375,16744110886
2024-10-13,63192.9453125,63272.65234375,62035.63671875,62851.375,18177529690
2024-10-14,62848.3984375,66482.4921875,62442.15234375,66046.125,43706958056
2024-10-15,66050.3671875,67881.6796875,64809.1953125,67041.109375,48863870879
2024-10-16,67042.4609375,68375.2890625,66758.7265625,67612.71875,38195189534
2024-10-17,67617.078125,67912.2109375,66647.390625,67399.8359375,32790898511
2024-10-18,67419.109375,68969.75,67177.8203125,68418.7890625,36857165014
2024-10-19,68418.9765625,68668.0078125,68024.640625,68362.734375,14443497908
2024-10-20,68364.1796875,69359.0078125,68105.71875,69001.703125,18975847518
2024-10-21,69002.0,69462.734375,66829.8515625,67367.8515625,37498611780
2024-10-22,67360.703125,67801.578125,66581.3671875,67361.40625,31808472566
2024-10-23,67362.375,67402.7421875,65188.03515625,66432.1953125,32263980353
2024-10-24,66653.703125,68798.9609375,66454.1015625,68161.0546875,31414428647
2024-10-25,68165.296875,68722.15625,65521.79296875,66642.4140625,41469984306
2024-10-26,66628.734375,67317.921875,66360.59375,67014.6953125,19588098156
2024-10-27,67023.4765625,68221.3125,66847.2265625,67929.296875,16721307878
2024-10-28,67922.671875,70212.265625,67535.1328125,69907.7578125,38799856657
2024-10-29,69910.046875,73577.2109375,69729.9140625,72720.4921875,58541874402
2024-10-30,72715.3671875,72905.296875,71411.734375,72339.5390625,40646637831
2024-10-31,72335.046875,72662.3125,69590.5,70215.1875,40627912076
2024-11-01,70216.8984375,71559.015625,68779.703125,69482.46875,49989795365
2024-11-02,69486.0234375,69867.3515625,69033.71875,69289.2734375,18184612091
2024-11-03,69296.3828125,69361.65625,67482.5234375,68741.1171875,34868307655
2024-11-04,68742.1328125,69433.1796875,66803.6484375,67811.5078125,41184819348
2024-11-05,67811.171875,70522.7890625,67458.8671875,69359.5625,46046889204
2024-11-06,69358.5,76460.15625,69322.03125,75639.078125,118592653963
2024-11-07,75637.0859375,76943.1171875,74480.421875,75904.859375,63467654989
2024-11-08,75902.8359375,77252.75,75648.7421875,76545.4765625,55176858003
2024-11-09,76556.1875,76932.765625,75773.7890625,76778.8671875,29009480361
2024-11-10,76775.546875,81474.421875,76565.4296875,80474.1875,82570594495
2024-11-11,80471.4140625,89604.5,80283.25,88701.484375,117966845037
2024-11-12,88705.5625,89956.8828125,85155.109375,87955.8125,133673285375
2024-11-13,87929.96875,93434.3515625,86256.9296875,90584.1640625,123559027869
2024-11-14,90574.8828125,91765.21875,86682.8125,87250.4296875,87616705248
2024-11-15,87284.1796875,91868.7421875,87124.8984375,91066.0078125,78243109518
2024-11-16,91064.3671875,91763.9453125,90094.2265625,90558.4765625,44333192814
2024-11-17,90558.4609375,91433.0390625,88741.6640625,89845.8515625,46350159305
2024-11-18,89843.71875,92596.7890625,89393.59375,90542.640625,75535775084
2024-11-19,90536.8125,94002.8671875,90426.984375,92343.7890625,74521048295
2024-11-20,92341.890625,94902.0234375,91619.5,94339.4921875,71730956426
2024-11-21,94334.640625,99014.21875,94132.6015625,98504.7265625,106024505582
2024-11-22,98496.4296875,99655.5,97222.6640625,98997.6640625,78473580551
2024-11-23,99006.7421875,99014.6796875,97232.890625,97777.28125,44414644677
2024-11-24,97778.09375,98647.1796875,95788.078125,98013.8203125,51712020623
2024-11-25,98033.4453125,98935.03125,92642.9140625,93102.296875,80909462490
2024-11-26,93087.28125,94991.75,90770.8125,91985.3203125,91656519855
2024-11-27,91978.140625,97361.1796875,91778.6640625,95962.53125,71133452438
2024-11-28,95954.9453125,96650.203125,94677.3515625,95652.46875,52260008261
2024-11-29,95653.953125,98693.171875,95407.8828125,97461.5234375,54968682476
2024-11-30,97468.8125,97499.34375,96144.21875,96449.0546875,31634227866
2024-12-01,96461.3359375,97888.125,95770.1875,97279.7890625,36590695296
2024-12-02,97276.0078125,98152.6015625,94482.8671875,95865.3046875,72680784305
2024-12-03,95854.59375,96297.203125,93629.5625,96002.1640625,67067810961
2024-12-04,95988.53125,99207.328125,94660.5234375,98768.53125,77199817112
2024-12-05,98741.5390625,103900.46875,91998.78125,96593.5703125,149218945580
2024-12-06,97074.2265625,102039.8828125,96514.875,99920.7109375,94534772658
2024-12-07,99916.7109375,100563.3828125,99030.8828125,99923.3359375,44177510897
2024-12-08,99921.9140625,101399.9921875,98771.515625,101236.015625,44125751925
2024-12-09,101237.0625,101272.5078125,94355.9140625,97432.71875,110676473908
2024-12-10,97441.234375,98270.15625,94321.2578125,96675.4296875,104823780634
2024-12-11,96656.0625,101913.359375,95747.2265625,101173.03125,85391409936
2024-12-12,101167.8046875,102524.9140625,99339.953125,100043.0,72073983533
2024-12-13,100046.6484375,101888.8046875,99233.28125,101459.2578125,56894751583
2024-12-14,101451.4375,102618.8828125,100634.0546875,101372.96875,40422968793
2024-12-15,101373.53125,105047.5390625,101227.03125,104298.6953125,51145914137
2024-12-16,104293.578125,107780.578125,103322.984375,106029.71875,91020417816
2024-12-17,106030.6875,108268.4453125,105291.734375,106140.6015625,68589364868
2024-12-18,106147.296875,106470.609375,100041.5390625,100041.5390625,93865656139
2024-12-19,100070.6875,102748.1484375,95587.6796875,97490.953125,97221662392
2024-12-20,97484.6953125,98098.9140625,92175.1796875,97755.9296875,105634083408
2024-12-21,97756.1953125,99507.1015625,96426.5234375,97224.7265625,51765334294
2024-12-22,97218.3203125,97360.265625,94202.1875,95104.9375,43147981314
2024-12-23,95099.390625,96416.2109375,92403.1328125,94686.2421875,65239002919
2024-12-24,94684.34375,99404.0625,93448.015625,98676.09375,47114953674
2024-12-25,98675.9140625,99478.75,97593.46875,99299.1953125,33700394629
2024-12-26,99297.6953125,99884.5703125,95137.8828125,95795.515625,47054980873
2024-12-27,95704.9765625,97294.84375,93310.7421875,94164.859375,52419934565
2024-12-28,94160.1875,95525.8984375,94014.2890625,95163.9296875,24107436185
2024-12-29,95174.0546875,95174.875,92881.7890625,93530.2265625,29635885267
2024-12-30,93527.1953125,94903.3203125,91317.1328125,92643.2109375,56188003691
2024-12-31,92643.25,96090.6015625,91914.03125,93429.203125,43625106843
